Year,DoY,Hour,ER,Rg,Tair,Tsoil,rH,VPD,Ustar,SWC
2019,91,0.5,1.16305,0,2.57,9.73,73.91,-9999,0.05,0.31
2019,91,1,0.84226,0,2.56,9.39,73.33,-9999,0.03,0.31
2019,91,1.5,1.84811,0,1.88,9.12,76.41,-9999,0.02,0.31
2019,91,2,1.12012,0,1.78,8.83,74.55,-9999,0.03,0.31
2019,91,2.5,1.25492,0,1.84,8.57,68.79,-9999,0.03,0.31
2019,91,3,2.43,0,2.51,8.41,71.94,-9999,0.09,0.31
2019,91,3.5,2.4077,0,2.23,8.37,74.96,-9999,0.08,0.31
2019,91,4,0.77,0,2.28,8.32,72.48,-9999,0.02,0.31
2019,91,4.5,-0.69774,0,2.56,8.27,72.79,-9999,0.03,0.31
2019,91,5,-0.54901,0,2.67,8.25,72.85,-9999,0.03,0.31
2019,91,5.5,,0,3.23,8.22,70.44,-9999,0.05,0.31
2019,91,6,2.43609,0,3.24,8.17,69.72,-9999,0.04,0.31
2019,91,6.5,2.46485,0,2.95,8.11,71.05,-9999,0.11,0.31
2019,91,7,0.9708,0,2.92,8.04,72.94,-9999,0.05,0.31
2019,91,7.5,2.4664,1.58,2.97,7.94,67.66,-9999,0.11,0.30
2019,91,8,2.93,12.98,3.07,7.85,75.18,-9999,0.15,0.30
2019,91,8.5,3.97,35.58,3.32,7.82,67.55,-9999,0.18,0.30
2019,91,9,,91.53,3.79,7.89,64.16,-9999,0.21,0.30
2019,91,9.5,,167.3,4.44,8.13,55.39,0,0.22,0.30
2019,91,10,,326.45,5.76,8.61,52.64,0,0.3,0.30
2019,91,10.5,2.7328,322.6,6.39,9.32,54.13,0.09,0.27,0.31
2019,91,11,2.7824,381.79,7.04,9.95,46.14,0.57,0.31,0.31
2019,91,11.5,2.8724,543.03,8.23,10.66,41.87,2.33,0.31,0.31
2019,91,12,2.8994,600.54,8.59,11.64,43.93,3.21,0.34,0.31
2019,91,12.5,2.9635,675.72,9.45,12.72,39.33,4.11,0.35,0.31
2019,91,13,2.9916,724.18,9.83,13.8,35.36,4.7,0.27,0.31
2019,91,13.5,3.0166,720.11,10.17,14.96,36.21,6.03,0.22,0.31
2019,91,14,3.0511,759.96,10.64,16.12,39.7,6.5,0.19,0.31
2019,91,14.5,3.1058,811.59,11.39,17.17,36.95,7.68,0.39,0.31
2019,91,15,3.147,797.1,11.96,18.29,33.06,8.5,0.23,0.31
2019,91,15.5,3.1779,751.81,12.39,19.28,31.57,8.97,0.16,0.31
2019,91,16,3.2015,693.39,12.72,20.01,34.92,8.87,0.22,0.31
2019,91,16.5,3.2279,622.74,13.09,20.49,30.65,9.02,0.31,0.31
2019,91,17,3.2612,540.76,13.56,20.65,31.6,9.21,0.32,0.31
2019,91,17.5,3.269,447.92,13.67,20.59,31.67,8.54,0.4,0.31
2019,91,18,3.2831,349.05,13.87,20.25,30.93,8.02,0.37,0.31
2019,91,18.5,3.2499,248.91,13.4,19.68,29.26,7.27,0.31,0.31
2019,91,19,3.2364,115.81,13.21,18.9,37.46,6.05,0.25,0.30
2019,91,19.5,,42.39,12.17,17.88,42.54,4.26,0.17,0.30
2019,91,20,,12.58,10.2,16.83,50.81,0.8,0.1,0.30
2019,91,20.5,,0.31,9.03,15.85,49.35,0,0.05,0.30
2019,91,21,1.8789,0,7.6,14.93,63.45,0,0.05,0.30
2019,91,21.5,2.7687,0,6.86,14.13,62.23,0,0.09,0.30
2019,91,22,2.7504,0,6.62,13.43,62.33,0,0.12,0.30
2019,91,22.5,2.7382,0,6.46,12.82,62.47,0,0.16,0.30
2019,91,23,,0,6.45,12.29,58.54,0,0.19,0.30
2019,91,23.5,2.7297,0,6.35,11.83,57.83,0,0.24,0.30
2019,92,0,2.7221,0,6.25,11.42,57.49,0,0.25,0.30
2019,92,0.5,2.699,0,5.95,11.05,61.21,0,0.24,0.30
2019,92,1,2.6744,0,5.63,10.73,61.69,0,0.27,0.30
2019,92,1.5,2.6233,0,4.97,10.42,67.48,-9999,0.27,0.30
2019,92,2,2.5742,0,4.34,10.13,71.92,-9999,0.2,0.30
2019,92,2.5,2.5342,0,3.83,9.84,70.39,-9999,0.14,0.30
2019,92,3,2.5726,0,4.32,9.59,69.31,-9999,0.24,0.30
2019,92,3.5,2.5483,0,4.01,9.36,72.06,-9999,0.2,0.30
2019,92,4,2.5515,0,4.05,9.15,70.63,-9999,0.25,0.30
2019,92,4.5,2.5429,0,3.94,8.96,71.11,-9999,0.25,0.30
2019,92,5,2.54913,0,4.02,8.79,69.28,-9999,0.23,0.30
2019,92,5.5,2.5193,0,3.64,8.62,69.82,-9999,0.22,0.30
2019,92,6,2.5098,0,3.52,8.44,73.82,-9999,0.2,0.30
2019,92,6.5,2.5146,0,3.58,8.28,69.86,-9999,0.22,0.30
2019,92,7,2.5381,0.01,3.88,8.14,71.99,-9999,0.25,0.30
2019,92,7.5,2.52479,5.59,3.71,8.01,72.33,-9999,0.25,0.30
2019,92,8,2.5538,55.34,4.08,7.91,71.41,-9999,0.25,0.30
2019,92,8.5,,149.46,5.49,7.94,66.33,0,0.28,0.30
2019,92,9,2.7908,249.77,7.15,8.28,61.11,0,0.33,0.30
2019,92,9.5,2.9211,350.5,8.88,8.91,57.05,0.05,0.36,0.30
2019,92,10,3.0599,418.93,10.76,9.78,49.76,1.58,0.36,0.30
2019,92,10.5,3.2386,536.23,13.24,10.83,42,4.23,0.37,0.30
2019,92,11,3.3622,615.49,15,12.09,41.73,6.34,0.48,0.30
2019,92,11.5,3.4368,686.14,16.08,13.39,42.2,7.69,0.43,0.30
2019,92,12,3.5388,712.86,17.58,14.73,34.72,9.69,0.39,0.30
2019,92,12.5,3.6362,691.12,19.04,16.03,32.01,11.97,0.48,0.30
2019,92,13,3.6745,735.96,19.62,17.11,31.36,13.2,0.43,0.30
2019,92,13.5,3.7481,872.74,20.75,18.15,30.08,15.92,0.43,0.30
2019,92,14,3.7591,841.94,20.92,19.35,26.49,16.92,0.44,0.30
2019,92,14.5,3.7714,826.54,21.11,20.43,30.96,17.18,0.44,0.30
2019,92,15,3.7752,756.79,21.17,21.37,31.09,16.61,0.44,0.30
2019,92,15.5,3.7797,736.87,21.24,22,29.77,17.1,0.47,0.30
2019,92,16,3.7894,650.36,21.39,22.37,32.38,16.6,0.52,0.30
2019,92,16.5,3.781,620.47,21.26,22.52,32.01,15.84,0.52,0.30
2019,92,17,3.7662,565.22,21.03,22.52,33.43,15.13,0.59,0.30
2019,92,17.5,3.7488,427.99,20.76,22.45,33.6,13.8,0.49,0.30
2019,92,18,3.7423,375,20.66,22.13,31.4,13.11,0.44,0.30
2019,92,18.5,3.7065,235.87,20.11,21.67,34.01,11.22,0.47,0.30
2019,92,19,3.6626,131.07,19.44,20.98,36.41,9.85,0.45,0.30
2019,92,19.5,3.6051,62.36,18.57,20.14,42.24,7.52,0.27,0.30
2019,92,20,,14.94,16.53,19.3,52.91,3.46,0.18,0.30
2019,92,20.5,3.3413,0.32,14.7,18.4,52.2,0.7,0.19,0.30
2019,92,21,3.32036,0,14.4,17.52,50.54,0.83,0.27,0.30
2019,92,21.5,3.30423,0,14.17,16.75,52.4,1.2,0.31,0.30
2019,92,22,3.2371,0,13.22,16.12,53.62,0.03,0.22,0.29
2019,92,22.5,3.2393,0,13.25,15.56,58.23,0.14,0.31,0.29
2019,92,23,3.1865,0,12.51,15.11,56.77,0,0.32,0.29
2019,92,23.5,3.1858,0,12.5,14.74,56.5,0,0.35,0.29
2019,93,0,3.1657,0,12.22,14.4,57.96,0,0.35,0.29
2019,93,0.5,3.1621,0,12.17,14.11,57.38,0,0.4,0.29
2019,93,1,3.18078,0,12.43,13.9,56.23,0,0.41,0.29
2019,93,1.5,3.2022,0,12.73,13.77,55.34,0,0.44,0.29
2019,93,2,3.19009,0,12.56,13.69,58.02,0,0.49,0.29
2019,93,2.5,3.1311,0,11.74,13.6,59.78,0,0.42,0.29
2019,93,3,3.0869,0,11.13,13.42,61.95,0,0.37,0.29
2019,93,3.5,3.0533,0,10.67,13.2,63.55,0,0.32,0.29
2019,93,4,3.013,0,10.12,12.95,66.22,0,0.3,0.29
2019,93,4.5,2.9575,0,9.37,12.68,67.58,0,0.25,0.29
2019,93,5,2.9241,0,8.92,12.4,71.58,0,0.23,0.29
2019,93,5.5,2.8837,0,8.38,12.14,74.12,-9999,0.18,0.29
2019,93,6,2.8521,0,7.96,11.89,73.81,-9999,0.19,0.29
2019,93,6.5,2.8664,0,8.15,11.66,71.38,-9999,0.3,0.29
2019,93,7,2.90688,0,8.69,11.49,69.61,-9999,0.36,0.29
2019,93,7.5,2.9151,3.38,8.8,11.36,67.95,0,0.35,0.29
2019,93,8,2.959,34.55,9.39,11.3,66.8,0,0.44,0.29
2019,93,8.5,3.0108,110.1,10.09,11.36,65.07,0,0.41,0.29
2019,93,9,3.0423,145.74,10.52,11.63,65.1,0,0.39,0.29
2019,93,9.5,3.1304,384.51,11.73,12.12,59.48,0,0.48,0.29
2019,93,10,3.2065,331.34,12.79,12.89,59.85,0.5,0.53,0.29
2019,93,10.5,3.3084,460.6,14.23,13.68,52.06,2.44,0.61,0.29
2019,93,11,3.3775,521.29,15.22,14.55,49.89,4.04,0.65,0.29
2019,93,11.5,3.4038,396.74,15.6,15.31,49.66,3.63,0.6,0.29
2019,93,12,3.4785,558.42,16.69,15.87,49.52,4.52,0.63,0.29
2019,93,12.5,3.563,854.62,17.94,16.74,49.42,7.32,0.63,0.29
2019,93,13,3.5917,804.8,18.37,18.06,47.93,7.37,0.65,0.29
2019,93,13.5,3.6329,735.51,18.99,19.14,49.01,7.36,0.67,0.29
2019,93,14,3.658,831.07,19.37,19.93,47.99,8.45,0.71,0.29
2019,93,14.5,3.6639,764.95,19.46,20.65,46.1,8.61,0.71,0.29
2019,93,15,3.6928,793.48,19.9,21.25,46.84,9.61,0.69,0.29
2019,93,15.5,3.6731,552.54,19.6,21.77,45.86,7.89,0.67,0.29
2019,93,16,3.5964,248.51,18.44,21.74,54.8,4.7,0.63,0.29
2019,93,16.5,3.5219,145.7,17.33,21.09,56.97,2.23,0.63,0.29
2019,93,17,3.4703,88,16.57,20.2,58.06,1.26,0.5,0.29
2019,93,17.5,3.4492,52.67,16.26,19.42,59.99,0.6,0.4,0.29
2019,93,18,3.4389,45.79,16.11,18.79,60.39,0.12,0.41,0.29
2019,93,18.5,3.4313,37.14,16,18.28,63.14,0,0.4,0.29
2019,93,19,3.4203,30.58,15.84,17.87,64.56,0,0.4,0.29
2019,93,19.5,3.38927,11.46,15.39,17.52,70.11,0,0.53,0.29
2019,93,20,3.34551,4.79,14.76,17.18,72.35,0,0.52,0.29
2019,93,20.5,,0.03,14.29,16.86,74.04,0,0.32,0.29
2019,93,21,3.3119,0,14.28,16.53,73.74,0,0.32,0.29
