Date,MODIS_EVI
2/26/2000,0.17
3/5/2000,0.183
3/13/2000,0.189
3/21/2000,0.205
3/29/2000,0.192
4/6/2000,0.238
4/14/2000,0.288
4/22/2000,0.343
4/30/2000,0.443
5/8/2000,0.495
5/16/2000,0.5
5/24/2000,0.555
6/1/2000,0.577
6/9/2000,
6/17/2000,0.435
6/25/2000,0.566
7/3/2000,
7/11/2000,0.614
7/19/2000,0.603
7/27/2000,
8/4/2000,0.448
8/12/2000,0.488
8/20/2000,0.411
8/28/2000,0.382
9/5/2000,0.368
9/13/2000,0.34
9/21/2000,0.309
9/29/2000,0.308
10/7/2000,0.231
10/15/2000,0.223
10/23/2000,0.116
10/31/2000,
11/8/2000,0.127
11/16/2000,0.119
11/24/2000,0.135
12/2/2000,0.117
12/10/2000,
12/18/2000,0.106
12/26/2000,
1/1/2001,0.117
1/9/2001,
1/17/2001,
1/25/2001,0.122
2/2/2001,0.13
2/10/2001,
2/18/2001,
2/26/2001,0.128
3/6/2001,0.138
3/14/2001,0.145
3/22/2001,
3/30/2001,
4/7/2001,0.18
4/15/2001,
4/23/2001,0.21
5/1/2001,0.31
5/9/2001,0.392
5/17/2001,0.531
5/25/2001,0.526
6/2/2001,0.528
6/10/2001,0.596
6/18/2001,
6/26/2001,
7/4/2001,0.591
7/12/2001,0.5
7/20/2001,0.478
7/28/2001,0.42
8/5/2001,0.384
8/13/2001,0.309
8/21/2001,
8/29/2001,
9/6/2001,0.363
9/14/2001,0.331
9/22/2001,0.341
9/30/2001,0.318
10/8/2001,0.24
10/16/2001,0.23
10/24/2001,0.202
11/1/2001,0.21
11/9/2001,0.191
11/17/2001,0.144
11/25/2001,
12/3/2001,0.153
12/11/2001,0.133
12/19/2001,0.124
12/27/2001,0.134
1/1/2002,0.134
1/9/2002,0.132
1/17/2002,
1/25/2002,0.135
2/2/2002,0.141
2/10/2002,0.131
2/18/2002,0.096
2/26/2002,0.102
3/6/2002,
3/14/2002,0.136
3/22/2002,
3/30/2002,0.152
4/7/2002,
4/15/2002,0.205
4/23/2002,0.312
5/1/2002,0.301
5/9/2002,0.393
5/17/2002,0.446
5/25/2002,0.466
6/2/2002,0.523
6/10/2002,0.529
6/18/2002,0.575
6/26/2002,0.513
7/4/2002,
7/12/2002,
7/20/2002,0.409
7/28/2002,0.426
8/5/2002,0.347
8/13/2002,0.296
8/21/2002,0.282
8/29/2002,0.318
9/6/2002,
9/14/2002,0.286
9/22/2002,0.307
9/30/2002,0.34
10/8/2002,0.331
10/16/2002,0.281
10/24/2002,
11/1/2002,0.218
11/9/2002,0.207
11/17/2002,0.194
11/25/2002,0.197
12/3/2002,
12/11/2002,0.18
12/19/2002,0.182
12/27/2002,0.184
1/1/2003,0.191
1/9/2003,
1/17/2003,0.182
1/25/2003,0.195
2/2/2003,0.2
2/10/2003,
2/18/2003,0.21
2/26/2003,0.173
3/6/2003,
3/14/2003,0.218
3/22/2003,0.22
3/30/2003,0.24
4/7/2003,0.258
4/15/2003,0.298
4/23/2003,0.355
5/1/2003,0.382
5/9/2003,0.443
5/17/2003,0.512
5/25/2003,0.42
6/2/2003,0.475
6/10/2003,0.487
6/18/2003,0.468
6/26/2003,0.462
7/4/2003,0.461
7/12/2003,0.396
7/20/2003,0.363
7/28/2003,0.367
8/5/2003,0.376
8/13/2003,0.283
8/21/2003,0.265
8/29/2003,0.266
9/6/2003,0.31
9/14/2003,0.302
9/22/2003,0.29
9/30/2003,
10/8/2003,0.3
10/16/2003,0.264
10/24/2003,0.27
11/1/2003,
11/9/2003,0.229
11/17/2003,0.214
11/25/2003,0.218
12/3/2003,
12/11/2003,
12/19/2003,0.196
12/27/2003,0.186
1/1/2004,0.186
1/9/2004,0.174
1/17/2004,0.176
1/25/2004,
2/2/2004,0.166
2/10/2004,
2/18/2004,
2/26/2004,0.172
3/5/2004,0.189
3/13/2004,0.203
3/21/2004,0.234
3/29/2004,0.244
4/6/2004,0.294
4/14/2004,0.297
4/22/2004,0.43
4/30/2004,0.406
5/8/2004,0.385
5/16/2004,0.379
5/24/2004,0.406
6/1/2004,
6/9/2004,0.378
6/17/2004,0.372
6/25/2004,0.466
7/3/2004,0.538
7/11/2004,0.513
7/19/2004,0.515
7/27/2004,0.541
8/4/2004,0.577
8/12/2004,0.516
8/20/2004,0.548
8/28/2004,0.533
