DATE,Tavg_mean,Havg_mean,Vdef_mean,Hdeg_mean,Cdeg_mean,Wspd_mean,Atot_mean,Rain_sum,Savg_mean,Bavg_mean,Tr05_mean,Tr25_mean,Tr60_mean,MODIS_EVI
2/26/2000,48.7125,66.6175,5.255,16.66875,0,12.51125,14.82860965,0.78,49.21875,49.43125,1.6717375,1.5706625,1.4914,0.17
3/5/2000,50.0375,72.90625,4.11375,14.2575,0,13.4975,17.77,0.71,51.34375,51.30125,1.56245,1.5574,1.4786625,0.183
3/13/2000,47.8825,81.5825,3.14125,15.82625,0,10.4275,12.79125,0.95,50.0575,49.9775,1.5948875,1.547525,1.47165,0.189
3/21/2000,57.95,75.16625,5.155,6.97,0,10.1175,16.6675,2.39,56.53125,56.36875,1.5075125,1.53175,1.465475,0.205
3/29/2000,50.39,75.4275,4.47,15.1525,0.31125,11.225,15.85375,1.31,53.35625,52.09125,1.5124,1.518875,1.4628125,0.192
4/6/2000,55.47125,70.68875,5.16375,9.3775,0,12.2325,19.25375,0.29,57.53625,57.78,1.63705,1.507,1.4625625,0.238
4/14/2000,59.5225,74.75,5.74875,7.27,1.42875,12.63125,23.03375,0.37,61.44,62.1225,1.8176875,1.5060625,1.461225,0.288
4/22/2000,61.10125,71.14625,6.44125,4.51375,0,9.54,22.48125,0.45,63.48625,65.01625,2.5211625,1.7241125,1.4658625,0.343
4/30/2000,64.11375,80.16849515,5.0325,4.05875,3.30125,9.46375,15.37332896,2.14,63.5075,65.18375,1.62345,1.652675,1.4592375,0.443
5/8/2000,66.85125,70.66375,7.535,2.73875,3.77625,14.7225,25.785,0.43,67.92625,71.755,2.0173625,1.6238,1.4585625,0.495
5/16/2000,70.76663703,66.96574838,10.4475,1.38625,7.23625,12.3239075,24.46735965,0.43,67.45671189,72.28433374,2.685225,2.04140625,1.571807063,0.5
5/24/2000,76.08,69.83625,11.24625,0,10.91375,12.225,24.99110965,1.87,72.33625,76.71125,2.003,2.198975,1.6109,0.555
6/1/2000,70.4475,74.67875,7.5425,0,6.2075,9.945,23.26625,0.71,71.37,74.7275,2.161225,2.3643375,1.9449375,0.577
6/17/2000,72.54625,85.48625,5.01625,0.47375,8.60625,11.25875,17.3275,4.37,70.6925,73.10625,1.6007625,1.6899375,2.145314125,0.435
6/25/2000,73.2325,85.36125,4.775,0,8.72875,8.90875,17.465,1.71,72.735,74.9275,1.4885,1.561775,1.5767875,0.566
7/11/2000,82.5075,63.07125,16.405,0,16.91,8.61,26.66625,0.53,77.8825,86.12625,2.468175,2.147075,1.618825,0.614
7/19/2000,76.5075,71.7475,10.5575,0,11.72875,10.0425,26.07875,1.77,75.87125,80.9575,1.83425,2.1138125,1.9997875,0.603
8/4/2000,85.4175,50.7025,22.81875,0,20.365,10.78375,26.1725,0,77.94625,86.86625,3.138075,2.706,2.623725,0.448
8/12/2000,83.18875,53.7,21.61625,0,18.40375,9.695,26.00125,0.35,78.3375,86.28875,3.3187375,3.5736625,3.3802625,0.488
8/20/2000,85.3625,43.12875,26.54,0,20.4225,10.05625,24.42860965,0,77.775,86.3,3.35055,3.50200625,3.415907063,0.411
8/28/2000,86.99125,38.215,31.09125,0,22.205,8.7075,24.0675,0,78.96625,86.8875,3.7514,3.811625,3.6387875,0.382
9/5/2000,81.2425,52.6575,19.99375,0,16.51,10.76375,22.64625,0.05,78.05125,84.59,3.7891625,3.8422375,3.6738375,0.368
9/13/2000,74.025,40.93875,20.32,0.2575,8.7525,10.34875,22.9125,0,74.11875,80.05,3.82125,3.869675,3.70075,0.34
9/21/2000,61.05875,63.85375,9.31625,6.5675,2.50375,11.19,18.31875,0.16,66.4325,69.53875,3.8362625,3.8924,3.72015,0.309
9/29/2000,68.6375,49.13625,15.0675,2.09,6.5875,13.62875,18.475,0,68.28625,72.6975,3.825375,3.8959375,3.740325,0.308
10/7/2000,54.1825,51.36875,7.63,12.715,1.55875,11.9725,15.355,0.04,60.27125,61.72625,3.89665,3.9167625,3.7528,0.231
10/15/2000,61.885,84.1325,3.80625,2.50375,0.1275,7.465,10.4,2.11,63.02125,64.72625,2.3420625,3.89425,3.7516625,0.223
10/23/2000,65.2825,87.58625,3.1025,0.40875,1.73625,11.4425,9.67125,5.3,64.60125,64.765,1.509275,1.7062125,2.20335,0.116
11/8/2000,35.86875,78.07625,1.885,28.20375,0,9.67,9.83625,0.78,47.37625,41.8425,1.52905,1.5575,1.5404125,0.127
11/16/2000,37.54625,73.68375,2.26625,26.88125,0,7.7675,10.45375,0.31,44.73,42.40875,1.5624,1.5492375,1.5310375,0.119
